지역,매장명,주소,전화번호,위도,경도
경기도,부천중동점,"경기도 부천시 부흥로 315번길 62, 1층",032-710-7998,37.4974376663969,126.777227877041
경기도,철산자이더헤리티지점,경기 광명시 철산동 235 1층,070-5055-0808,37.4825764087772,126.869845790901
전라북도,정읍호남고점,전북특별자치도 정읍시 초산로 5 (시기동),063-700-8588,35.5600092735423,126.851629727364
인천광역시,인천용현시장북문점,인천 미추홀구 독정이로 24-1,미등록,37.4581625108123,126.654235598268
대전광역시,대전하기동점,대전광역시 유성구 송림로 44,042-825-0819,36.3873365299266,127.322607250183
경기도,광교센트럴점,"경기 수원시 영통구 이의동 1322-8, 1층",미등록,37.2929967478999,127.04954382515
경기도,산본흥진점,"경기 군포시 오금로 15-30, 1층",031-395-1343,37.3530716665426,126.929771095073
전라북도,김제시청점,전북특별자치도 김제시 중앙로 57 (서암동),070-8648-3033,35.8054084787307,126.882611646753
서울특별시,이태원점,서울 용산구 이태원로20길 2-12 (이태원동) 1층,02-797-4208,37.5339301058858,126.991523601724
서울특별시,장위자이레디언트점,"서울특별시 성북구 돌곶이로30길 24, 상가동 107호 좌측",02-942-1007,37.6130579065898,127.056929309429
충청남도,천안두정오성점,충남 천안시 서북구 오성로 1,041-562-7338,36.8307214696093,127.127599320138
경상북도,포항연일점,경북 포항시 남구 연일읍 동문로76번길 10-6 105호,054-610-1070,35.9967736764825,129.353734586096
전라남도,목포연산점,전라남도 목포시 연산로 163,070-7378-1451,34.8109585752449,126.379554797433
경기도,기흥테라타워점,"경기도 용인시 기흥구 서천로201번길 11 (지하1층 C-L143,144호)",031-203-3599,37.231425985432,127.071894127547
충청북도,충북음성점,충북 음성군 음성읍 수정로 55 (읍내리) 1층,070-7604-2456,36.9350219729284,127.692519123316
경상북도,김천신음점,경북 김천시 시청로 57,054-810-7776,36.1334497493689,128.117357445497
경기도,평택고덕유보라점,"경기도 평택시 고덕국제2로 45, 131호",070-4324-1095,37.0469145187259,127.046263385248
대전광역시,대전둔산더샵엘리프점,대전 서구 탄방로 112 102호,070-4175-0030,36.3387615556476,127.396758460951
경기도,남양주마석중흥점,경기도 남양주시 화도읍 맷돌로 117,031-592-0328,37.6577529315535,127.303386293014
대구광역시,대구이천푸르지오점,대구 남구 이천동 474-1 상가동,미등록,35.8503355487027,128.598189157919
대전광역시,대전관저마치광장점,대전 서구 구봉로 133 에스프라자,070-4351-1513,36.2967266588157,127.337795093814
경기도,안양덕천점,경기 안양시 만안구 안양동 192-20,031-466-1989,37.3905540200601,126.937403525598
서울특별시,대전선화해모로점,대전 중구 선화동 193-26,070-7510-1004,36.3319921145019,127.416176726452
경기도,빽다방 빵연구소 오산가장점,"경기도 오산시 가장산업동로66, 지하 1층 및 1층(가장동)",070-5055-2299,37.1623840244699,127.043127589242
서울특별시,장위전통시장점,서울 성북구 장위동 66-320,미등록,37.6092948373924,127.052454571809
전라북도,군산경장철길숲점,전북특별자치도 군산시 미장길 29,070-5227-2275,35.9704384642832,126.728979975264
경기도,안양관양시장점,경기 안양시 동안구 관양동 1420-41 1층,031-425-7999,37.4041252011573,126.960837887348
충청남도,아산세교초교점,충남 아산시 배방읍 세교중앙로 32,미등록,36.7791244609,127.093688716559
경기도,의정부KT사거리점,경기 의정부시 신흥로 193,031-928-7137,37.7334508924291,127.043237494046
인천광역시,대전월평선사점,대전광역시 서구 청사로120,042-335-4423,36.3595400405047,127.377051137856
부산광역시,부산사상역점,"부산광역시 사상구 광장로56번길 5, 1층",051-909-2280,35.1616745534898,128.982703181346
서울특별시,신내우남점,"서울시 중랑구 봉화산로 56길 51, 우남푸르미아 상가 1층",02-3422-0404,37.6060884746945,127.098961382584
전라북도,전주효문중점,전북특별자치도 전주시 완산구 용리로 86 (삼천동1가),070-5030-1030,35.7984859159286,127.119272793622
경기도,시흥메가폴리스점,경기도 시흥시 협력로 281,010-7979-2623,37.3516293502189,126.715540051698
경기도,안산성포예술인점,경기 안산시 상록구 성포동 583-5,070-5001-1505,37.3206920064562,126.843834056944
충청북도,청주비하월드점,충청북도 청주시 흥덕구 가로수로 1099 (비하동),미등록,36.6267969975129,127.418959291636
전라북도,익산하나로사거리점,전북특별자치도 익산시 하나로 434 (어양동),070-8666-4770,35.9592246002032,126.981929403058
경기도,동탄역디에트르더마당점,경기도 화성시 동탄오산로 29 (오산동),031-374-9575,37.1993103412943,127.090189650458
경상남도,김해외동점,경상남도 김해시 내외중앙로 47 (외동),미등록,35.2343120432366,128.866273172504
경기도,가평읍내사거리점,경기도 가평군 가평읍 가화로 132,070-5222-0222,37.8313750042133,127.513117784138
인천광역시,인천올리브백화점점,인천광역시 남동구 남동대로 880 (간석동) 110호,070-8211-1775,37.460999951806,126.708864593972
경기도,안성중앙대점,경기도 안성시 대덕면 대학10길 21,010-7433-8624,37.0021449452804,127.226548287861
경기도,신장사거리점,경기도 하남시 신장로 111 (신장동),070-7525-0999,37.5374653454341,127.205451845049
전라남도,여수학동점,전라남도 여수시 시청동5길 14 (학동),061- 682-8979,34.7586804101276,127.666143956351
전라남도,영광터미널농협점,전라남도 영광군 영광읍 신남로 177,070-7575-0080,35.2764059116661,126.501652959768
경상북도,포항법원점,경상북도 포항시 북구 법원로 175 (양덕동),054-244-0587,36.0904169064088,129.387648299995
충청남도,공주중동점,충청남도 공주시 무령로 219-1 (산성동),041-881-6788,36.4567691207908,127.124251877379
대전광역시,대전지족역사점,대전광역시 유성구 노은로 273 (지족동),042-825-6898,36.3840854826124,127.319482085631
전라남도,순천시청점,전라남도 순천시 장명로 15 (장천동),070-4012-3012,34.9512087460423,127.485627843045
서울특별시,강일2지구점,서울특별시 강동구 아리수로93나길 38 (강일동),02-481-0077,37.5719495468616,127.173931648055
전라북도,전주송천중앙점,전북특별자치도 전주시 덕진구 송천중앙로 154 (송천동1가),미등록,35.8604879067083,127.121718183305
서울특별시,정릉역점,서울 성북구 정릉로26길 61 1층,070-8680-9533,37.6027558318797,127.013185906558
경기도,광명전통시장남부점,경기도 광명시 오리로 963-1 (광명동),02-2066-3442,37.4787237474965,126.856062401825
전라북도,익산역서부점,전북특별자치도 익산시 군익로 520-16 (송학동),031-443-2119,35.9407216356885,126.94276032545
인천광역시,인천신검단풍경채1차점,"인천광역시 서구 금정로 12 (불로동, 신검단중앙역풍경채어바니티)",070-4333-0077,37.605612464213,126.698949129407
대구광역시,대구서문시장점,대구광역시 중구 큰장로 126 (대신동),053-421-3337,35.8693881149697,128.579301926789
경기도,안산선부한양점,경기도 안산시 단원구 달미로 67 (선부동),010-8350-2615,37.341953535801,126.814845293153
대구광역시,대전천동리더스시티점,"대전광역시 동구 안샘로 11 (천동, 리더스시티4BL)",042-710-8316,36.3182518281302,127.445030252328
서울특별시,종로새문안점,서울특별시 종로구 새문안로83,02-738-1777,37.5703546250501,126.973968562862
서울특별시,까치산역점,서울특별시 강서구 강서로 35 (화곡동),02-6080-2766,37.5308913669333,126.846954538529
경기도,부천고리울점,경기도 부천시 오정구 고리울로52번길 24,070-7622-6398,37.5262169781286,126.821296574947
충청남도,천안입장점,충청남도 천안시 서북구 입장면 하장4길 2,070-4304-1151,36.9144277410896,127.22201989386
부산광역시,부산서면에이원프라자점,부산광역시 부산진구 중앙대로 668 (부전동),070-8211-0861,35.1524174833396,129.059590929327
전라북도,고창흥덕점,전북특별자치도 고창군 흥덕면 서이길 1-1,063-562-3097,35.5191420038929,126.698978473983
강원도,강원평창점,강원특별자치도 평창군 평창읍 노성로 101,033-332-7640,37.3686144625402,128.395673950326
경기도,동탄산업단지점,경기도 화성시 동탄기흥로 147-13 (방교동),031-8043-7742,37.172862384602,127.090251101201
경기도,김포고촌역점,경기도 김포시 고촌읍 김포대로 348,031-8049-7545,37.6018819744133,126.770340198817
서울특별시,미아역점,서울특별시 강북구 도봉로 190 (미아동),02-980-8881,37.6258982556346,127.027000082119
서울특별시,양천향교역점,서울특별시 강서구 강서로 471 (마곡동),02-6083-3515,37.5674482048077,126.840573315951
충청북도,충북괴산점,충청북도 괴산군 괴산읍 읍내로 286,043-833-7966,36.8085249130685,127.794598122949
제주도,제주연동사장1길점,제주특별자치도 제주시 연동8길 7 (연동),064-746-2213,33.4851414250848,126.490807609442
인천광역시,인천구월테크노밸리점,인천광역시 남동구 선수촌공원로17번길 1 (구월동),070-75757-0005,37.4402282669533,126.709647489089
경기도,의정부역브라운스톤점,"경기도 의정부시 시민로179번길 10 (신곡동, 의정부역 브라운스톤 리버뷰)",070-4233-3108,37.7377988006758,127.055675317508
전라북도,전주중산점,전북특별자치도 전주시 완산구 중화산로 43 (중화산동2가),미등록,35.8142287504056,127.117866176731
경상북도,포항한동대점,경상북도 포항시 북구 흥해읍 한동로 558,미등록,36.1023014256562,129.389266058166
충청남도,천안두정점,충청남도 천안시 서북구 두정로 271 (두정동),미등록,36.8332567599608,127.147007440446
경기도,광명광복점,경기도 광명시 광복로 70 (철산동),070-7575-2010,37.4900479183147,126.866131220222
인천광역시,인천계산삼거리점,인천 계양구 경명대로 1059,070-5222-0909,37.5437016052041,126.724741467911
대구광역시,대구상동금륜점,대구광역시 수성구 청수로 54 (상동),053-216-7161,35.8402567211188,128.614155104993
부산광역시,부산양정자이더샵점,"부산광역시 부산진구 연수로38, 170동 1층 118호",051-911-2375,35.1742394946232,129.075816173133
충청북도,제천강제점,충청북도 제천시 장평천로 1 (강제동),043-645-9800,37.1243031743452,128.224525768305
경기도,안양어반포레점,경기도 안양시 만안구 안양동 618,031-360-1030,37.3913887693717,126.922837040691
경기도,오산세교가수점,경기도 오산시 초평중앙로 127-4,070-5100-2999,37.1438165880493,127.047685965166
강원도,하이원그랜드호텔점,강원특별자치도 정선군 사북읍 하이원길 265,010-5854-2512,37.2120533263011,128.82171779524
서울특별시,관악중부시장점,서울특별시 관악구 행운1길 132 (봉천동),미등록,37.4843825765396,126.956328907178
대전광역시,충남대정문점,대전 유성구 대학로 86 1층 107호,042-824-7887,36.3610863513524,127.34477497913
경상북도,의성안계점,경상북도 의성군 안계면 안계길 149,미등록,36.3848008527363,128.436475658699
전라북도,익산금마점,전북특별자치도 익산시 금마면 금마길50,063-833-6389,35.991000505831,127.052258116623
인천광역시,인천서구경서점,인천광역시 서구 도요지로 24 (경서동),032-299-6088,37.5588101797139,126.653239449792
제주도,서귀포516로점,제주특별자치도 서귀포시 516로 450 (상효동),미등록,33.2912763677561,126.594946583574
대구광역시,대구엑스코점,대구광역시 북구 유통단지로8길 70 (산격동),053-262-9268,35.9052082012955,128.612383347496
경상남도,진주상봉점,경상남도 진주시 의병로 56 (상봉동),055-747-3341,35.1977395159125,128.068659505493
인천광역시,소래포구역점,인천광역시 남동구 소래역로36,미등록,37.4003132258351,126.735462609054
경기도,화성새솔송린점,경기도 화성시 노들길 4,0507-1487-2223,37.2797842212143,126.820007465509
인천광역시,인천부평금호이수점,인천광역시 부평구 마장로272번길 57,070-4333-1110,37.5025518834866,126.706233714258
경기도,경기북부청사역점,경기도 의정부시 장곡로 620 (신곡동),070-5228-2200,37.750355968647,127.071672013883
서울특별시,신촌연세로점,서울특별시 서대문구 연세로 23 (창천동),070-5055-2002,37.5577621622783,126.93669022608
인천광역시,인천학익신동아점,인천광역시 미추홀구 매소홀로 474 (학익동),032-243-5168,37.4392651949563,126.674711746261
서울특별시,미아사거리성북우체국점,서울특별시 성북구 동소문로 304 (하월곡동),02-909-1104,37.6069157517054,127.028664468401
전라북도,군산소룡점,전북특별자치도 군산시 공항로 86 (소룡동),063-471-8814,35.9759269801489,126.678732622015
전라남도,담양메타점,전라남도 담양군 담양읍 깊은실길 16,070-8680-8880,35.3220439423115,127.003800435059
전라북도,전주효천교점,전북특별자치도 전주시 완산구 효천중앙로 49 (효자동2가),063-222-0621,35.798970620292,127.107210506344
경기도,고양원당e편한시티점,"경기도 고양시 덕양구 호국로790번길 101 (성사동, e편한세상 시티 원당)",031-966-7310,37.6543244453521,126.841292756337
경상북도,의성군청점,경상북도 의성군 의성읍 중앙길 83,070-4800-4999,36.3517642574045,128.696306252634
경기도,의왕서해그랑블점,"경기도 의왕시 경수대로 262 (오전동, 의왕서해그랑블(블루스퀘어))",070-7868-4219,37.3506825569407,126.973189534705
강원도,강릉경포해변점,강원특별자치도 강릉시 창해로 473 (강문동),033-651-5610,37.8026251883443,128.910183557957
부산광역시,부산연산월드컵대로점,부산광역시 연제구 월드컵대로 159 (연산동),051-852-0451,35.1867842636431,129.078859525455
서울특별시,도봉천점,서울특별시 도봉구 도봉로177길 26 (도봉동),070-5089-3333,37.6818669298496,127.044771521602
제주도,제주종합경기장점,제주특별자치도 제주시 오라로 150 (오라일동),070-8824-2268,33.4942187203134,126.518567969198
전라남도,목포포미점,전라남도 목포시 포미로 10 (용해동),070-5055-2000,34.8169738171902,126.397905795579
경기도,부천엘림캐슬점,경기도 부천시 소사구 경인로 255 (심곡본동),070-8880-3691,37.4832485855906,126.783999025068
강원도,강릉교동광장점,강원특별자치도 강릉시 솔올로5번길 52 (교동),070-7510-2223,37.7635705490852,128.877210629427
충청남도,서산대산점,충청남도 서산시 대산읍 구진로 28,070-8691-3277,36.9379140195553,126.435237343093
경상북도,구미송정푸르지오점,경상북도 구미시 백산로 64 (송정동),054-444-5144,36.1212934947597,128.340343951859
대전광역시,대전선화빌리프점,대전광역시 중구 대종로517번길 61 (선화동),042-222-1401,36.3283972655773,127.421260008487
경기도,평택대점,경기도 평택시 현신로 12 (용이동),031-647-0864,36.9943817338029,127.135764080684
대전광역시,대전갈마중로점,대전광역시 서구 갈마중로 35 (갈마동),042-369-2135,36.347721684178,127.373144171449
서울특별시,금천시흥문일점,서울특별시 금천구 시흥대로51길 33 (시흥동),070-4488-2403,37.4507476801202,126.899815562008
서울특별시,안암성북천점,서울특별시 성북구 고려대로8길 71,미등록,37.5827835915204,127.022426365566
전라남도,전남강진점,전라남도 강진군 강진읍 보은로2길 33,070-4066-2000,34.6395551922375,126.769880178168
서울특별시,외대앞역교차로점,"서울특별시 동대문구 외대역동로 63-12 (휘경동, 이문휘경 지웰에스테이트)",070-7808-6549,37.5945752100931,127.063902128929
충청남도,천안동남경찰서점,충청남도 천안시 동남구 청수14로 102 (청당동) 108호,041-569-0410,36.7855626581229,127.15738691592
경상남도,경남하동빛드림본부점,경상남도 하동군 금성면 경제산업로 509,070-7537-0998,34.9739586449703,127.812892474546
전라남도,완도청해진점,전라남도 완도군 완도읍 청해진남로 15,061-886-8866,34.3137157232104,126.756851626533
전라북도,전주효자기전점,전북특별자치도 전주시 완산구 우전로 339 (효자동3가),070-8780-9799,35.8248920458143,127.101641822196
대구광역시,대구화원명천로점,대구광역시 달성군 화원읍 명천로 135,053-263-0750,35.801103467804,128.5035480989
충청남도,천안청당벽산점,충청남도 천안시 동남구 청당2길 99 (청당동),070-5220-2200,36.7801903056482,127.153942423864
전라북도,전주에코백석점,전북특별자치도 전주시 덕진구 백석남로 131 (송천동2가),063-717-7706,35.8790899675001,127.125633848862
인천광역시,인천송도센트로드점,인천광역시 연수구 인천타워대로 323 상가D동 1층 114호,032-831-3696,37.3995231669444,126.629572683174
강원도,춘천신북샘밭점,강원특별자치도 춘천시 신북읍 신샘밭로 366,미등록,37.9247766551383,127.751310304985
서울특별시,상일동역점,서울특별시 강동구 고덕로 391 (고덕동),02-3426-7789,37.5572260091644,127.168978454847
경기도,수원매탄위브점,경기도 수원시 영통구 인계로220번길 10 (매탄동),031-211-7445,37.264560045444,127.041256186468
경기도,동두천중앙사거리점,경기도 동두천시 중앙로 261,031-928-5435,37.9048046071346,127.053657089185
충청남도,아산탕정미래초교점,충청남도 아산시 탕정면 탕정면로 54-3,041-533-5689,36.7984311601481,127.063454882985
전라북도,전주삼천세창점,전북특별자치도 전주시 완산구 용리로 177,063-223-8255,35.7987853947872,127.127707482904
서울특별시,혜화역점,서울특별시 종로구 대학로 131,미등록,37.5829020305366,127.001503267532
경기도,부천송내사회체육관점,경기도 부천시 소사구 경인로 110-1,032-662-2232,37.4837695450218,126.767707469874
서울특별시,면목2동점,서울특별시 중랑구 동일로 645,070-4848-1313,37.588142860705,127.079593388472
전라북도,전주평화사거리점,전북특별자치도 전주시 완산구 모악로 4765,070-4006-7004,35.794649242213,127.132113182021
세종특별자치시,세종조치원욱일점,세종특별자치시 조치원읍 행복12길 1,044-866-5006,36.6036971471138,127.292751762616
서울특별시,위례아이파크점,서울특별시 송파구 위례광장로 136,미등록,37.4771958181254,127.142374845651
부산광역시,부산서면롯데후문점,부산광역시 부산진구 부전로66번길 26,미등록,35.1557851047925,129.056097289302
서울특별시,신자초사거리점,서울특별시 광진구 뚝섬로 590,070-4060-4600,37.5331352364244,127.075301209905
경기도,광주삼동점,경기도 광주시 고불로 458,031-761-0255,37.4098978269349,127.200154559896
전라북도,전주한옥어진길점,전북특별자치도 전주시 완산구 어진길 40,​070-8844-1405,35.8177430695533,127.152321003834
충청남도,천안중앙시장점,충청남도 천안시 동남구 사직로 4,041-555-1934,36.8004816041324,127.149756064037
전라북도,전주만성북부점,전북특별자치도 전주시 덕진구 만성북로 19,070-5067-0505,35.8497686443551,127.077328796243
전라남도,광양용강점,전라남도 광양시 광양읍 와룡길 5,070-7575-0715,34.9710459868083,127.609367339427
경상북도,경산신대부적점,경상북도 경산시 압량읍 압독2로1길 15,070-7525-5001,35.8436138886683,128.763229914053
경기도,김포구래휴트라움점,경기도 김포시 김포한강10로 133번길 66,031-998-3496,37.6411207319691,126.61987585119
충청남도,당진수청호반점,충청남도 당진시 수청1길 47,070-5055-1000,36.8880089364455,126.650428760409
서울특별시,노량진드림스퀘어점,서울특별시 동작구 노들로2길 7,070-7510-1777,37.5141942939247,126.938586139882
경상남도,양산평산점,경상남도 양산시 평산로 21,055-388-6991,35.3814018289814,129.152527516678
서울특별시,남부터미널점,서울특별시 서초구 효령로55길 10,070-5030-2000,37.4852094743801,127.014668789154
전라북도,전주만성중앙점,전북특별자치도 전주시 덕진구 만성중앙로17-10,070-8744-3100,35.8448076999375,127.074584884751
서울특별시,종로경희궁의아침점,서울특별시 종로구 사직로8길 34,02-2138-3239,37.5735877659071,126.9724255294
서울특별시,구로지밸리점,서울특별시 구로구 디지털로 300,02-6344-3330,37.4849270383011,126.896538036905
서울특별시,둔촌동역점,서울시 강동구 양재대로 1367,02-478-1205,37.5283077805775,127.135932437159
전라북도,김제용지점,전북특별자치도 김제시 용지면 콩쥐팥쥐로 844,063-770-8989,35.8159634005533,126.993063614082
경기도,시흥배곧한라점,경기도 시흥시 서울대학로 172-20,070-4647-1013,37.3622658073564,126.718379533859
서울특별시,종로정동사거리점,서울특별시 종로구 새문안로 46,미등록,37.5688134061202,126.970255557608
대전광역시,대전대흥자이점,대전광역시 중구 충무로107번길 122,070-5056-4401,36.3233231937734,127.426063482042
제주도,제주신비로점,제주특별자치도 제주시 주르레길 1,미등록,33.4500807816909,126.486076228066
대전광역시,대전삼성아파트점,대전광역시 중구 계룡로 856,042-525-1229,36.3245253865392,127.40950447109
강원도,양구버스터미널점,강원특별자치도 양구군 양구읍 중심로 196,033-854-7008,38.1076970847855,127.989396196541
제주도,마포시민공원점,제주특별자치도 제주시 구좌읍 월정3길 60,02-332-8631,33.5558680174199,126.795360116594
대구광역시,대구으뜸병원점,대구광역시 중구 국채보상로 532-1,070-7575-0705,35.870023672919,128.58899830509
전라남도,광양성황점,전라남도 광양시 성황6길 28,061-795-9582,34.936996397469,127.680714041275
충청북도,청주가경아이파크점,충청북도 청주시 흥덕구 서현로 60,070-7798-1153,36.6175418320014,127.428835966064
인천광역시,인천가정고점,인천광역시 서구 서달로163번길 4,070-5055-0666,37.5134084393993,126.678531727485
세종특별자치시,세종조치원역점,세종특별자치시 조치원읍 으뜸길 208,044-865-4123,36.6008007780305,127.297055981757
서울특별시,연남센트럴점,서울 마포구 연남동 228-44,070-8880-8080,37.5623551701399,126.924569902235
서울특별시,석촌배명점,서울특별시 송파구 삼학사로 42,02-422-4263,37.5008443924282,127.097108877465
인천광역시,인천부개코오롱점,인천광역시 부평구 부평문화로 216,070-5222-2155,37.4930318448139,126.740297311174
경기도,용인신갈롯데점,경기도 용인시 기흥구 중부대로 375,031-282-2821,37.2719404348259,127.107852657512
전라북도,장수장계점,전북특별자치도 장수군 장계면 한들로 90-1,미등록,35.7309376508713,127.582067666673
경상남도,창원가음한림풀에버점,경상남도 창원시 성산구 가음정로23번길 10-21,070-7777-9787,35.2108568443804,128.688636587107
서울특별시,홍익대제3기숙사점,서울특별시 마포구 성미산로 55,070-4099-3800,37.5596804055369,126.914181454361
전라남도,순천서면점,전라남도 순천시 서면 삼산로 291,061-811-0677,34.9877148840542,127.504480400589
서울특별시,잠실여고후문점,서울특별시 송파구 가락로 140,02-416-0321,37.5022414085538,127.111489777158
전라북도,전북임실점,전북특별자치도 임실군 임실읍 운수로 51,063-778-8777,35.6129166118996,127.285691004734
전라남도,광양칠성점,전라남도 광양시 광양읍 칠성리 126,070-7575-0700,34.9780703815396,127.583000376054
경기도,은현농협에너지점,경기도 양주시 은현면 화합로 1148,070-7575-2448,37.8495833159654,127.042418973142
대전광역시,대전안골네거리점,대전광역시 서구 동서대로 994,070-4099-0330,36.3329262826301,127.372702152429
경기도,의정부호원한주점,경기도 의정부시 평화로 323,031-877-5190,37.7209015931539,127.047305884846
대구광역시,대구만촌역태왕점,대구광역시 수성구 달구벌대로 2599,053-753-7487,35.859494695632,128.647059798918
경기도,안양포도원점,경기도 안양시 동안구 포도원로 4,031-429-1343,37.361963503677,126.962525270509
경기도,빽다방 빵연구소 안성당왕점,경기도 안성시 안성맞춤대로 1182 (당왕동),031-677-1182,37.0182645067601,127.267748904667
대전광역시,대전효촌마을점,대전광역시 동구 동서대로1668번길 42,070-5100-6060,36.3465506196396,127.434949094276
경기도,오산궐동점,경기도 오산시 궐리사로 31,070-4247-0925,37.1604131650208,127.056187754024
강원도,속초해수욕장점,강원특별자치도 속초시 해오름로171,033-633-1022,38.1893450119034,128.602991688946
경기도,퇴계원중학교점,경기도 남양주시 퇴계원읍 퇴계원로 53,031-527-7789,37.651685267223,127.141968921683
경기도,광명기아타운점,경기도 광명시 기아로 46,070-8211-3105,37.435968150779,126.884590003497
제주도,제주서광로동성길점,제주특별자치도 제주시 동성길 4,070-4333-2111,33.499783293247,126.510431626948
경기도,경기광주퇴촌점,경기도 광주시 퇴촌면 광동로 72,070-8822-1680,37.4701733283474,127.310517940307
경기도,광명두산위브점,경기도 광명시 광덕산로 26,070-5055-1511,37.4683120540749,126.872465851923
경기도,평택소사벌삼성타워점,경기도 평택시 평남로 858,070-7575-0707,37.0001291659972,127.111576772566
서울특별시,대림성모점,서울특별시 동작구 시흥대로 658,02-6081-0202,37.4903749716012,126.908076731256
인천광역시,인천검암2지구점,인천광역시 서구 승학로 562,070-4647-4625,37.5662405091648,126.681986643844
경기도,구리수택더바임점,경기도 구리시 검배로 76,070-7510-7676,37.5955834905119,127.146652634222
서울특별시,역촌역점,서울특별시 은평구 서오릉로 71,02-351-3512,37.6070075809917,126.921952781175
서울특별시,구로대륭포스트8차점,서울특별시 구로구 디지털로26길 43,02-3149-6996,37.4810070418126,126.89442230572
